Index,File,Predicted,Expected,Deviation
26,7.0_17ecc3ffc44ab69e67bd55af1b71572c.jpg,7.2,7.0,0.2
27,3.0_82a0845fa13ed81b21495264130dc6a7.jpg,3.2,3.0,0.2
28,8.0_4055_zeiger4_2020-04-29_14-00-02.jpg,8.2,8.0,0.2
29,3.1_c9694caec19e559c134a8b095e76746c.jpg,3.3,3.1,0.2
30,5.2_21bc333a57ae524f2346d39c6548b756.jpg,5.0,5.2,0.2
31,3.4_1679_zeiger3_2019-11-19_08-22-03.jpg,3.6,3.4,0.2
32,6.0_5cd4d1d14fa286d803bfc68efdeb8807.jpg,5.8,6.0,0.2
33,3.6_b4269fab24db96287fc58173ce3398c9.jpg,3.4,3.6,0.2
34,7.1.jpg,7.3,7.1,0.2
35,6.4_e6989a823abd05e4b4d5ecc856de14aa.jpg,6.6,6.4,0.2
36,1.7_0675_analog1_20200817-071434.jpg,1.9,1.7,0.2
37,3.6_fa456d343ceeb4a2c85494ce161ef195.jpg,3.4,3.6,0.2
38,6.8_7188809ca3751b06bd6131dcc9f16073.jpg,6.6,6.8,0.2
39,4.0_419b104a69f39a3c177eb9b8ad55515a.jpg,4.2,4.0,0.2
40,7.9_3991_zeiger2_2020-06-14_16-50-43.jpg,7.7,7.9,0.2
41,4.9_4.9.jpg,4.7,4.9,0.2
42,6.4_pointer_20211010-122829.jpg,6.2,6.4,0.2
43,5.5_2f57e5d28c516450e32a34b5d57d6b5b.jpg,5.3,5.5,0.2
44,2.2_0f1654d4f09db42e8414d51225910009.jpg,2.4,2.2,0.2
45,8.1_e8cd5827f6d9cbb09b7004d294afae73.jpg,8.3,8.1,0.2
46,9.3_65d411ed2a999f5006a658f340ba861d.jpg,9.5,9.3,0.2
47,3.3_b6c8d6d745cb8d076b052f9fbc7f8ad7.jpg,3.1,3.3,0.2
48,8.5_4241_zeiger3_2019-11-19_02-17-03.jpg,8.3,8.5,0.2
49,5.0_007a7845b86bad6c2b494b061bc64b8c.jpg,4.8,5.0,0.2
50,6.5_98a0eff9b1d428320a0a2b032ce734a9.jpg,6.3,6.5,0.2
51,8.0_4034_zeiger2_2020-04-29_14-05-02.jpg,8.2,8.0,0.2
52,1.7_32327ed5ce30e4b79172ab569ec76ba8.jpg,1.9,1.7,0.2
53,6.4_c0fa89df519f3e665d7778b437c7d493.jpg,6.6,6.4,0.2
54,3.6_4e3bead06d3e609a73c7efc97ebd35f4.jpg,3.4,3.6,0.2
55,3.0_66bcbf8d513b5e58e4e24753733de298.jpg,2.8,3.0,0.2
56,1.3_1fe175f541247c9266791695b0689d43.jpg,1.1,1.3,0.2
57,6.0_2897_zeiger3_2019-11-19_01-12-03.jpg,5.8,6.0,0.2
58,3.1_1479_zeiger3_2019-11-19_12-07-03.jpg,3.3,3.1,0.2
59,8.3_8.3.jpg,8.5,8.3,0.2
60,7.1_3603_zeiger4_2019-06-05T205009.jpg,7.3,7.1,0.2
61,9.6_5b046ded88310f7bd0425368ef2ac2e4.jpg,9.8,9.6,0.2
62,7.1_3611_zeiger4_2019-06-06T092009.jpg,7.3,7.1,0.2
63,0.6_5367ed7438cbf4365041548e310a2416.jpg,0.8,0.6,0.2
64,4.9_4288a1e5398d1eca2225dc9076953586.jpg,4.7,4.9,0.2
65,1.7_eb2525024ea4ef2572626ab0ce97150a.jpg,1.9,1.7,0.2
66,8.8_010511481f4e7035718c29617a32726f.jpg,8.6,8.8,0.2
67,9.1_4537_zeiger2_2019-11-19_09-22-03.jpg,9.3,9.1,0.2
68,7.1_3536_zeiger4_2019-06-05T140009.jpg,7.3,7.1,0.2
69,5.2_28a0dd8050d4de160506e5f7415ff36e.jpg,5.0,5.2,0.2
70,4.7_b371c6bf71deb6d914ee3b516f82aae6.jpg,4.9,4.7,0.2
71,6.9_ba7fada72dd111abbbcc73b11fda1dd6.jpg,7.1,6.9,0.2
72,1.8_274b3ae2c892ae90caa525cf0aef9b82.jpg,2.0,1.8,0.2
73,2.3_525057225948a9c327d2496e4cc9bc81.jpg,2.5,2.3,0.2
74,7.6_bf9b30d145967c3963108211787eb88a.jpg,7.8,7.6,0.2
75,8.0_4015_analog3_20200822-112020.jpg,7.8,8.0,0.2
76,8.4_analog2_20200927-150752.jpg,8.6,8.4,0.2
77,1.7_1.8.jpg,1.9,1.7,0.2
